Year,Anniversary,Age,Contribution,AV Pre-Fee,Fund1-Pre-Fee,Fund2 Pre-Fee,M&E/Fund Fees,AV Pre-Withdrawal,Fund1 Pre-Withdrawal,Fund2 Pre-Withdrawal,Withdrawal Amount,AV Post-Withdrawal,Fund1 Post-Withdrawal,Fund2 Post-Withdrawal,Rider Charge,AV Post Charges,Fund1 Post-Charges,Fund2 Post-Charges,Death Payments,AV Post-Death Claims,Fund1 Post-Death Claims,Fund2 Post-Death Claims,Fund1 Post-Rebalance,Fund2 Post-Rebalance,ROP Death Base,NAR Death Claims,Death Benefit Base,Withdrawal Base,Withdrawal Amount,Cumulative Withdrawal,Max Annual Withdrawal,Max Annual Withdrawal Rate,Eligible StepUp,Growth Phase,AutoMatic Period Benefit Status,Last Death,Fund1 Returns,Fund2 Returns,Rebalance Indicator,DF,qx
11,Anniversary,71,0,87444,16481.1,70963,1308.5,86135.5,16234.4,69901.1,0,86135.5,16234.4,69901.1,732.152,85403.4,16096.5,69306.9,475.555,84927.8,16006.8,68921,16985.6,68417.8,94635.5,0,73369.5,215075,0,0,10753.7,5,0,0,0,0,3,3,1,0.722421,0.5
12,Anniversary,72,0,87965.5,17495.1,70470.4,1316.38,86649.1,17233.3,69415.8,0,86649.1,17233.3,69415.8,736.517,85912.6,17086.8,68825.7,473.177,85439.4,16992.7,68446.7,17087.9,68824.7,94162.3,0,70949.8,213999,0,0,10700,5,0,0,0,0,3,3,1,0.70138,0.5
13,Anniversary,73,0,88490,17600.5,70889.4,1324.31,87165.7,17337.1,69828.5,0,87165.7,17337.1,69828.5,740.908,86424.7,17189.7,69235,470.811,85953.9,17096.1,68857.8,17190.8,69234,93691.5,0,68529.8,212929,0,0,10646.5,5,0,0,0,0,3,3,1,0.680951,0.5
14,Anniversary,74,0,89017.5,17706.5,71311,1332.29,87685.2,17441.5,70243.7,0,87685.2,17441.5,70243.7,745.324,86939.9,17293.3,69646.6,468.457,86471.4,17200.1,69271.3,17294.3,69645.6,93223,0,66109.5,211865,0,0,10593.2,5,0,0,0,0,3,3,1,0.661118,0.5
15,Anniversary,75,0,89548.1,17813.1,71735,1340.31,88207.8,17546.5,70661.3,0,88207.8,17546.5,70661.3,749.766,87458,17397.4,70060.6,466.115,86991.9,17304.6,69687.3,17398.4,70059.6,92756.9,0,63688.9,210805,0,0,10540.3,5,0,0,0,0,3,3,1,0.641862,0.5
16,Anniversary,76,0,90081.7,17920.3,72161.4,1348.37,88733.4,17652.1,71081.3,0,88733.4,17652.1,71081.3,754.234,87979.1,17502,70477.1,463.784,87515.3,17409.8,70105.6,17503.1,70476.1,92293.1,0,61267.9,209751,0,0,10487.6,5,0,0,0,0,3,3,1,0.623167,0.5
17,Anniversary,77,0,90618.5,18028.2,72590.3,1356.49,89262,17758.3,71503.7,0,89262,17758.3,71503.7,758.727,88503.3,17607.3,70895.9,461.466,88041.8,17515.5,70526.3,17608.4,70894.9,91831.6,0,58846.3,208703,0,0,12522.2,6,0,0,0,0,3,3,1,0.605016,0.5
18,Anniversary,78,0,91158.4,18136.6,73021.8,1364.65,89793.7,17865.1,71928.6,0,89793.7,17865.1,71928.6,763.247,89030.5,17713.3,71317.2,459.158,88571.3,17621.9,70949.4,17714.3,71316.2,91372.5,0,56424.2,207659,0,0,12459.5,6,0,0,0,0,3,3,1,0.587395,0.5
19,Anniversary,79,0,91701.4,18245.7,73455.7,1372.86,90328.6,17972.5,72356,0,90328.6,17972.5,72356,767.793,89560.8,17819.8,71741,456.862,89103.9,17728.9,71375,17820.8,71740,90915.6,0,54001.4,206621,0,0,12397.2,6,0,0,0,0,3,3,1,0.570286,0.5
20,Anniversary,80,0,92247.6,18355.4,73892.2,1381.11,90866.5,18080.6,72785.9,0,90866.5,18080.6,72785.9,772.365,90094.1,17926.9,72167.2,454.578,89639.5,17836.5,71803.1,17927.9,72166.2,90461,0,51577.9,205588,0,0,12335.3,6,0,0,0,0,3,3,1,0.553676,0.5
21,Anniversary,81,0,92796.9,18465.7,74331.2,1389.41,91407.5,18189.3,73218.3,0,91407.5,18189.3,73218.3,776.964,90630.6,18034.7,72595.9,452.305,90178.2,17944.6,72233.6,18035.6,72594.9,90008.7,0,49153.7,204560,0,0,14319.2,7,0,0,0,0,3,3,1,0.537549,0.5
22,Anniversary,82,0,93349.5,18576.7,74772.8,1397.76,91951.7,18298.6,73653.1,0,91951.7,18298.6,73653.1,781.59,91170.1,18143,73027.1,450.044,90720.1,18053.5,72666.6,18144,73026.1,89558.7,0,46728.5,203537,0,0,14247.6,7,0,0,0,0,3,3,1,0.521893,0.5
23,Anniversary,83,0,93905.2,18688.3,75216.9,1406.16,92499.1,18408.5,74090.6,0,92499.1,18408.5,74090.6,786.242,91712.8,18252,73460.8,447.793,91265,18162.9,73102.1,18253,73459.8,89110.9,0,44302.5,202519,0,0,14176.3,7,0,0,0,0,3,3,1,0.506692,0.5
24,Anniversary,84,0,94464.2,18800.6,75663.6,1414.61,93049.6,18519.1,74530.5,0,93049.6,18519.1,74530.5,790.922,92258.7,18361.6,73897,445.555,91813.1,18273,73540.2,18362.6,73896.1,88665.4,0,41875.4,201507,0,0,14105.5,7,0,0,0,0,3,3,1,0.491934,0.5
25,Anniversary,85,0,95026.4,18913.5,76112.9,1423.1,93603.3,18630.3,74973.1,0,93603.3,18630.3,74973.1,795.628,92807.7,18471.9,74335.8,443.327,92364.4,18383.7,73980.7,18472.9,74334.8,88222,0,39447.3,200499,0,0,14034.9,7,0,0,0,0,3,3,1,0.477606,0.5
26,Anniversary,86,0,95591.9,19027.1,76564.9,1431.65,94160.3,18742.1,75418.2,0,94160.3,18742.1,75418.2,800.362,93359.9,18582.8,74777.1,441.11,92918.8,18495,74423.8,18583.8,74776.2,87780.9,0,37018.1,199497,0,0,13964.8,7,0,0,0,0,3,3,1,0.463695,0.5
27,Anniversary,87,0,96160.7,19141.3,77019.4,1440.24,94720.5,18854.6,75865.9,0,94720.5,18854.6,75865.9,805.124,93915.4,18694.3,75221,438.905,93476.5,18607,74869.5,18695.3,75220.1,87342,0,34587.6,198499,0,0,13894.9,7,0,0,0,0,3,3,1,0.450189,0.5
28,Anniversary,88,0,96732.8,19256.1,77476.7,1448.88,95283.9,18967.7,76316.2,0,95283.9,18967.7,76316.2,809.913,94474,18806.5,75667.5,436.71,94037.3,18719.6,75317.7,18807.5,75666.6,86905.3,0,32155.9,197507,0,0,13825.5,7,0,0,0,0,3,3,1,0.437077,0.5
29,Anniversary,89,0,97308.2,19371.7,77936.6,1457.58,95850.7,19081.5,76769.1,0,95850.7,19081.5,76769.1,814.731,95035.9,18919.3,76116.6,434.526,94601.4,18832.8,75768.6,18920.3,76115.6,86470.8,0,29722.8,196519,0,0,13756.3,7,0,0,0,0,3,3,1,0.424346,0.5
30,Anniversary,90,0,97887,19487.9,78399.1,1466.32,96420.7,19196,77224.7,0,96420.7,19196,77224.7,819.576,95601.1,19032.8,76568.3,432.354,95168.8,18946.7,76222,19033.8,76567.4,86038.4,0,27288.3,195536,0,0,13687.6,7,0,0,0,0,3,3,1,0.411987,0.5
31,Anniversary,91,0,98469.1,19604.8,78864.4,1475.12,96994,19311.1,77683,0,96994,19311.1,77683,824.449,96169.6,19146.9,77022.6,430.192,95739.4,19061.3,76678.1,19147.9,77021.7,85608.2,0,24852.3,194559,0,0,13619.1,7,0,0,0,0,3,3,1,0.399987,0.5
32,Anniversary,92,0,99054.7,19722.3,79332.4,1483.96,97570.7,19426.8,78143.9,0,97570.7,19426.8,78143.9,829.351,96741.4,19261.7,77479.6,428.041,96313.3,19176.5,77136.8,19262.7,77478.7,85180.2,0,22414.7,193586,0,0,13551,7,0,0,0,0,3,3,1,0.388337,0.5
33,Anniversary,93,0,99643.6,19840.5,79803.1,1492.86,98150.7,19543.3,78607.4,0,98150.7,19543.3,78607.4,834.281,97316.5,19377.2,77939.3,425.901,96890.6,19292.4,77598.2,19378.1,77938.3,84754.3,0,19975.5,192618,0,0,13483.3,7,0,0,0,0,3,3,1,0.377026,0.5
34,Anniversary,94,0,100236,19959.5,80276.5,1501.8,98734.1,19660.4,79073.7,0,98734.1,19660.4,79073.7,839.24,97894.9,19493.3,78401.6,423.771,97471.1,19408.9,78062.2,19494.2,78400.7,84330.5,0,17534.6,191655,0,0,13415.8,7,0,0,0,0,3,3,1,0.366045,0.5
35,Anniversary,95,0,100832,20079.1,80752.7,1510.8,99321,19778.2,79542.8,0,99321,19778.2,79542.8,844.228,98476.7,19610.1,78866.6,421.653,98055.1,19526.1,78528.9,19611,78865.7,83908.9,0,15091.9,190697,0,0,13348.8,7,0,0,0,0,3,3,1,0.355383,0.5
36,Anniversary,96,0,101431,20199.3,81231.7,1519.85,99911.2,19896.7,80014.5,0,99911.2,19896.7,80014.5,849.245,99061.9,19727.6,79334.4,419.544,98642.4,19644,78998.4,19728.5,79333.5,83489.3,0,12647.3,189743,0,0,13282,7,0,0,0,0,3,3,1,0.345032,0.5
37,Anniversary,97,0,102034,20320.3,81713.5,1528.96,100505,20015.8,80489,0,100505,20015.8,80489,854.291,99650.5,19845.7,79804.8,417.447,99233.1,19762.6,79470.5,19846.6,79803.9,83071.9,0,10200.8,188795,0,0,13215.6,7,0,0,0,0,3,3,1,0.334983,0.5
38,Anniversary,98,0,102640,20442,82198,1538.11,101102,20135.7,80966.3,0,101102,20135.7,80966.3,859.366,100243,19964.5,80278,415.359,99827.2,19881.8,79945.4,19965.4,80277.1,82656.5,0,7752.36,187851,0,0,13149.5,7,0,0,0,0,3,3,1,0.325226,0.5
39,Anniversary,99,0,103250,20564.4,82685.4,1547.32,101703,20256.2,81446.3,0,101703,20256.2,81446.3,864.471,100838,20084,80754,413.283,100425,20001.7,80423,20085,80753.1,82243.2,0,5301.8,186911,0,0,13083.8,7,0,0,0,0,3,3,1,0.315754,0.5
40,Anniversary,100,0,103863,20687.5,83175.7,1556.58,102307,20377.5,81929.2,0,102307,20377.5,81929.2,869.606,101437,20204.3,81232.8,411.216,101026,20122.3,80903.4,20122.3,81314.7,81832,0,2849.1,185977,0,0,13018.4,7,0,0,0,1,3,3,0,0.306557,0.5
